Year,Fires,Acres,Forest Service ,DOI Agencies,Total
1985,82591,2896147,161505000,78438000,239943000
1986,85907,2719162,111625000,91153000,202778000
1987,71300,2447296,253657000,81452000,335109000
1988,72750,5009290,429609000,149317000,578926000
1989,48949,1827310,331672000,168115000,499787000
1990,66481,4621621,253700000,144252000,397952000
1991,75754,2953578,132300000,73820000,206120000
1992,87394,2069929,290300000,87166000,377466000
1993,58810,1797574,184000000,56436000,240436000
1994,79107,4073579,757200000,161135000,918335000
1995,82234,1840546,367000000,110126000,477126000
1996,96363,6065998,547500000,153683000,701183000
1997,66196,2856959,179100000,105048000,284148000
1998,81043,1329704,306800000,109904000,416704000
1999,92487,5626093,361100000,154416000,515516000
2000,92250,7383493,1076000000,334802000,1410802000
2001,84079,3570911,683122000,269574000,952696000
2002,73457,7184712,1279000000,395040000,1674040000
2003,63629,3960842,1023500000,303638000,1327138000
2004,65461,8097880,726000000,281244000,1007244000
2005,66753,8689389,524900000,294054000,818954000
2006,96385,9873745,1280419000,424058000,1704477000
2007,85705,9328045,1149654000,470491000,1620145000
2008,78979,5292468,1193073000,392783000,1585856000
2009,78792,5921786,702111000,218418000,920529000
2010,71971,3422724,578285000,231214000,809499000
2011,74126,8711367,1055736000,318789000,1374525000
2012,67774,9326238,1436614000,465832000,1902446000
2013,47579,4319546,1341735000,399199000,1740934000
2014,63212,3595613,1195955000,326194000,1522149000
2015,68151,10125149,1713000000,417543000,2130543000
2016,67595,5503538,1603806000,371739000,1975545000
2017,71499,10026086,2410165000,508000000,2918165000
2018,58083,8767492,2615256000,528000000,3143256000
2019,50477,4664364,1150000000,440000000,1590000000
